Stress;Strain
652643.619;0.000114552
670093.9048;0.00012321
691470.6667;0.000132534
735532.7619;0.000142524
750365.5238;0.000151182
771305.9048;0.000159174
788756.381;0.0001665
814059.4286;0.000172494
834999.8095;0.000178488
848087.619;0.00018315
861611.619;0.000189144
873390.6667;0.00019647
877753.1429;0.000203796
880807.0476;0.00020979
904801.3333;0.00021645
915707.8095;0.00022311
923560.381;0.000230436
936212;0.000237096
952789.7143;0.00024309
965005.1429;0.000251082
981582.8571;0.000259074
997288.381;0.000265734
1007322.095;0.000272394
1022154.857;0.000280386
1040477.905;0.000287712
1053129.333;0.00029637
1060545.714;0.000305694
1097627.81;0.000315684
1108534.286;0.00032301
1126857.143;0.000330336
1141253.714;0.000336996
1154341.524;0.000344988
1168301.714;0.000352314
1183134.476;0.000358974
1199276.19;0.000367632
1214108.952;0.000377622
1227196.762;0.000388278
1243338.286;0.000398934
1265151.238;0.000408924
1290454.286;0.000418248
1333207.81;0.000426906
1344986.667;0.000434898
1369417.143;0.000441558
1387303.81;0.000447552
1399519.048;0.000454878
1413043.238;0.000462204
1420459.429;0.000468198
1420023.238;0.000473526
1439218.667;0.000478854
1448380.19;0.000484182
1454487.81;0.000490176
1464957.905;0.00049617
1476736.952;0.000502164
1483280.762;0.000507492
1495059.81;0.00051282
1508583.81;0.000518148
1515127.81;0.00052281
1515782.095;0.000527472
1521671.619;0.000533466
1527124.952;0.000538128
1533014.476;0.000543456
1549592.19;0.000548118
1557444.762;0.000554112
1553300.381;0.00055944
1559408;0.0005661
1572277.714;0.000573426
1584492.952;0.000580086
1597144.571;0.000586746
1607178.476;0.000593406
1615467.238;0.000600066
1630300.19;0.000607392
1647750.476;0.00061605
1663455.81;0.000625374
1675671.238;0.000633366
1686141.333;0.000642024
1707081.714;0.000651348
1733257.333;0.000660672
1751580;0.000669996
1764667.81;0.000678654
1782554.667;0.00068598
1800441.143;0.000693972
1813092.762;0.000701298
1826180.381;0.000707958
1841013.143;0.000713952
1857591.048;0.000719946
1868497.524;0.000725274
1864353.143;0.000731934
1871115.238;0.000740592
1876132.19;0.000747918
1892491.619;0.00075591
1907323.81;0.00076257
1924339.048;0.000770562
1938735.238;0.000777888
1951822.857;0.000785214
1965346.667;0.000791874
1974944.762;0.0007992
1982798.095;0.000806526
1996758.095;0.000814518
2008100.952;0.000821178
2018135.238;0.000828504
2031222.857;0.000835164
2043001.905;0.000840492
2054344.762;0.000846486
2062196.19;0.000853146
2070049.524;0.000859806
2077902.857;0.000866466
2077466.667;0.000873126
2095352.381;0.000879786
2108876.19;0.000886446
2118910.476;0.000893106
2126325.714;0.0008991
2136360;0.000905094
2148575.238;0.000910422
2159918.095;0.000916416
2155556.19;0.000921078
2161881.905;0.00092574
2167771.429;0.0009324
2179986.667;0.000939726
2178022.857;0.000947052
2184567.619;0.000955044
2198744.762;0.00096237
2208779.048;0.00096903
2222302.857;0.00097569
2240190.476;0.000981018
2252405.714;0.000987678
2258512.381;0.00099567
2259603.81;0.001002996
2274655.238;0.001009656
2283817.143;0.001014984
2293849.524;0.001021644
2303447.619;0.00102897
2314354.286;0.001036962
2323952.381;0.001042956
2334859.048;0.00104895
2345765.714;0.001056276
2352744.762;0.00106227
2351219.048;0.00106893
2357106.667;0.001074924
2362560;0.001080918
2367140.952;0.001088244
2371940.952;0.001094238
2374558.095;0.001100898
2377175.238;0.001106226
2392009.524;0.00111222
2409895.238;0.001116882
2420365.714;0.00112221
2416874.286;0.001128204
2422546.667;0.001134864
2425600;0.00114219
2429527.619;0.001150182
2444360;0.001157508
2454830.476;0.001164834
2464862.857;0.001170828
