Stress,Strain
3124051.429,0.000970362
3348287.619,0.00105561
3569036.19,0.00113886
3785420.952,0.001217448
3977373.333,0.001294038
4166710.476,0.001364634
4355175.238,0.001427904
4522697.143,0.001486512
4650958.095,0.001542456
4759150.476,0.001595736
4854255.238,0.001645686
4935398.095,0.001692972
5018287.619,0.001740258
5090706.667,0.001792872
5156146.667,0.001849482
5226819.048,0.001909422
5318434.286,0.001970694
5412666.667,0.002033964
5507771.429,0.002103894
5612472.381,0.00217782
5733752.381,0.002252412
5848925.714,0.002329668
5961480,0.002410254
6072289.524,0.002490174
6189207.619,0.002570094
6309615.238,0.002650014
6420424.762,0.002732598
6525127.619,0.002814516
6626339.048,0.002891106
6705737.143,0.002965698
6789499.048,0.003035628
6867154.286,0.003099564
6910779.048,0.003158838
6947424.762,0.003217446
6955714.286,0.003272724
6969674.286,0.00332334
6983636.19,0.003370626
6996287.619,0.003420576
6998902.857,0.003473856
6996504.762,0.003531798
7002613.333,0.003589074
7030314.286,0.003649014
7078302.857,0.003710952
7114076.19,0.00377622
7167300.952,0.00384615
7232739.048,0.003916746
7300796.19,0.003988008
7369725.714,0.004063266
7424693.333,0.004138524
7486641.905,0.00421578
7554699.048,0.004296366
7628862.857,0.004380948
7700409.524,0.004462866
7769337.143,0.00453879
7826051.429,0.004611384
7876657.143,0.004679982
7916792.381,0.004743918
7929445.714,0.004804524
7942533.333,0.004863798
7933807.619,0.00492174
7936205.714,0.004975686
7932716.19,0.005025636
7927699.048,0.005076918
7921156.19,0.00513153
7901960,0.005187474
7894108.571,0.005245416
7898906.667,0.005305356
7914175.238,0.00536796
7936424.762,0.00543456
7956929.524,0.00550449
8018005.714,0.005573088
8069483.81,0.005643018
8123580.952,0.00571761
8155862.857,0.005792868
8211704.762,0.00587079
8271036.19,0.005952042
8332112.381,0.006035958
8392316.19,0.00612054
8454264.762,0.006201126
8513596.19,0.006279048
8567691.429,0.006352974
8616552.381,0.006420906
8628331.429,0.006482178
8647963.81,0.006539454
8648836.19,0.006592734
8627022.857,0.006640686
8601283.81,0.006685974
8555476.19,0.006731262
8507487.619,0.00677988
8450775.238,0.00683316
8404531.429,0.006887106
8394933.333,0.006944382
8382281.905,0.007003656
8376611.429,0.007068258
8382500.952,0.007137522
8404529.524,0.007208118
8459499.048,0.007280046
8490910.476,0.007355304
8521449.524,0.007431894
8564201.905,0.007510482
8605209.524,0.007589736
8618735.238,0.007673652
8553731.429,0.007764894
1715806.857,0.007857468
