Force ,Length,Time,Position,Small Length
6.861919,0.013653,0,0.013653,0.01610572
7.177989,0.0148185,0.02,0.0148185,0.01610566
7.530704,0.015984,0.04,0.015984,0.0161056
7.823870,0.0172494,0.06,0.0172494,0.01610555
8.126198,0.0185148,0.08,0.0185148,0.01610549
8.460590,0.0198135,0.1,0.0198135,0.01610544
8.845370,0.0211122,0.12,0.0211122,0.01610539
9.234732,0.0223443,0.14,0.0223443,0.01610534
9.642416,0.0235431,0.16,0.0235431,0.01610529
10.008870,0.0246753,0.18,0.0246753,0.01610523
10.384490,0.0258408,0.2,0.0258408,0.01610518
10.755530,0.026973,0.22,0.026973,0.01610512
11.044120,0.0281718,0.24,0.0281718,0.01610505
11.369350,0.0294372,0.26,0.0294372,0.01610499
11.662510,0.0307026,0.28,0.0307026,0.01610495
12.015230,0.0319347,0.3,0.0319347,0.01610489
12.331300,0.0331335,0.32,0.0331335,0.01610482
12.665690,0.034299,0.34,0.034299,0.01610474
12.990920,0.0354978,0.36,0.0354978,0.01610467
13.261180,0.0366633,0.38,0.0366633,0.0161046
13.545190,0.0377622,0.4,0.0377622,0.01610452
13.865840,0.0389277,0.42,0.0389277,0.01610443
14.140680,0.0400599,0.44,0.0400599,0.01610433
14.328490,0.0410922,0.46,0.0410922,0.01610424
14.644560,0.0420246,0.48,0.0420246,0.01610416
14.965210,0.0429903,0.5,0.0429903,0.01610407
15.194250,0.0439227,0.52,0.0439227,0.01610397
15.395800,0.0447885,0.54,0.0447885,0.01610387
15.574450,0.045621,0.56,0.045621,0.01610378
15.785160,0.0464535,0.58,0.0464535,0.01610371
15.856160,0.0472194,0.6,0.0472194,0.01610363
16.137880,0.047952,0.62,0.047952,0.01610354
16.213460,0.0487179,0.64,0.0487179,0.01610345
16.453950,0.0495171,0.66,0.0495171,0.01610337
16.529530,0.0503163,0.68,0.0503163,0.01610329
16.779180,0.0511488,0.7,0.0511488,0.01610322
16.811240,0.051948,0.72,0.051948,0.01610317
17.017380,0.0527805,0.74,0.0527805,0.0161031
17.205180,0.053613,0.76,0.053613,0.01610303
17.278480,0.0544788,0.78,0.0544788,0.01610296
17.427350,0.0553113,0.8,0.0553113,0.01610289
17.557900,0.0561771,0.82,0.0561771,0.01610282
17.782360,0.0570762,0.84,0.0570762,0.01610275
17.965590,0.0579087,0.86,0.0579087,0.01610268
18.148810,0.0587079,0.88,0.0587079,0.0161026
18.327460,0.0595404,0.9,0.0595404,0.01610252
18.387010,0.0602397,0.92,0.0602397,0.01610244
18.515270,0.060939,0.94,0.060939,0.01610236
18.650400,0.061605,0.96,0.061605,0.01610229
18.769500,0.0623043,0.98,0.0623043,0.01610222
18.890890,0.0630369,1,0.0630369,0.01610216
18.996250,0.0637029,1.02,0.0637029,0.0161021
19.099310,0.0644688,1.04,0.0644688,0.01610204
19.243600,0.0653346,1.06,0.0653346,0.01610198
19.392480,0.0662004,1.08,0.0662004,0.01610193
19.534480,0.0669996,1.1,0.0669996,0.01610188
19.678770,0.0677988,1.12,0.0677988,0.01610184
19.935290,0.0686313,1.14,0.0686313,0.01610178
20.010880,0.0695304,1.16,0.0695304,0.01610173
20.146010,0.0704295,1.18,0.0704295,0.01610167
20.269690,0.0713286,1.2,0.0713286,0.01610162
20.567430,0.072261,1.22,0.072261,0.01610156
20.741500,0.0731601,1.24,0.0731601,0.0161015
20.817080,0.0741258,1.26,0.0741258,0.01610144
21.066730,0.0750915,1.28,0.0750915,0.0161014
21.133150,0.0761238,1.3,0.0761238,0.01610135
21.369060,0.0771894,1.32,0.0771894,0.0161013
21.575190,0.0783216,1.34,0.0783216,0.01610124
21.781320,0.0794205,1.36,0.0794205,0.01610118
21.969140,0.0804861,1.38,0.0804861,0.01610113
22.221080,0.0816183,1.4,0.0816183,0.01610107
22.445530,0.0827505,1.42,0.0827505,0.016101
22.683730,0.0838494,1.44,0.0838494,0.01610092
22.876120,0.08501489,1.46,0.08501489,0.01610085
23.128060,0.0862137,1.48,0.0862137,0.01610077
23.366250,0.0873126,1.5,0.0873126,0.0161007
23.540320,0.0883116,1.52,0.0883116,0.01610061
23.783100,0.089244,1.54,0.089244,0.01610054
23.948010,0.0902097,1.56,0.0902097,0.01610047
24.014430,0.0911754,1.58,0.0911754,0.0161004
24.131230,0.0922077,1.6,0.0922077,0.01610034
24.245750,0.0932733,1.62,0.0932733,0.01610028
24.497690,0.0943722,1.64,0.0943722,0.01610021
24.573270,0.095571,1.66,0.095571,0.01610015
24.813760,0.0967032,1.68,0.0967032,0.01610008
24.996990,0.097902,1.7,0.097902,0.01610001
25.226020,0.0991341,1.72,0.0991341,0.01609994
25.450480,0.1003662,1.74,0.1003662,0.01609985
25.519190,0.101565,1.76,0.101565,0.01609976
25.789460,0.1027638,1.78,0.1027638,0.01609968
26.041390,0.1039626,1.8,0.1039626,0.01609961
26.256690,0.1051614,1.82,0.1051614,0.01609953
26.476560,0.1062936,1.84,0.1062936,0.01609946
26.668950,0.1074258,1.86,0.1074258,0.01609939
26.865920,0.108558,1.88,0.108558,0.0160993
27.035410,0.1097901,1.9,0.1097901,0.01609922
27.108700,0.1110555,1.92,0.1110555,0.01609914
27.383540,0.1123875,1.94,0.1123875,0.01609906
27.585100,0.1136529,1.96,0.1136529,0.016099
27.804970,0.114885,1.98,0.114885,0.01609893
28.001940,0.1160172,2,0.1160172,0.01609886
28.194330,0.1171161,2.02,0.1171161,0.01609878
28.258460,0.1181817,2.04,0.1181817,0.01609871
28.391300,0.1192473,2.06,0.1192473,0.01609865
28.503530,0.1204128,2.08,0.1204128,0.01609859
28.597440,0.121545,2.1,0.121545,0.01609851
28.702790,0.1226439,2.12,0.1226439,0.01609842
28.808150,0.1236762,2.14,0.1236762,0.01609835
29.028020,0.1246752,2.16,0.1246752,0.01609829
29.073830,0.1256409,2.18,0.1256409,0.01609824
29.192930,0.12654,2.2,0.12654,0.01609821
29.293710,0.1274058,2.22,0.1274058,0.01609815
29.334930,0.128205,2.24,0.128205,0.0160981
29.383030,0.1289709,2.26,0.1289709,0.01609804
29.435710,0.12987,2.28,0.12987,0.01609799
29.410510,0.1307025,2.3,0.1307025,0.01609793
29.438000,0.131535,2.32,0.131535,0.01609787
29.468920,0.1323675,2.34,0.1323675,0.0160978
29.552520,0.1331667,2.36,0.1331667,0.01609773
29.584580,0.1339659,2.38,0.1339659,0.01609767
29.586870,0.1347984,2.4,0.1347984,0.01609763
29.616650,0.1356642,2.42,0.1356642,0.01609757
29.656730,0.1364634,2.44,0.1364634,0.01609753
29.742620,0.1373625,2.46,0.1373625,0.01609749
29.797590,0.1382949,2.48,0.1382949,0.01609744
29.873170,0.139194,2.5,0.139194,0.01609737
29.930430,0.1401264,2.52,0.1401264,0.0160973
29.976230,0.1409922,2.54,0.1409922,0.01609723
30.065560,0.1418247,2.56,0.1418247,0.01609717
30.182370,0.1426239,2.58,0.1426239,0.01609712
30.235040,0.1433898,2.6,0.1433898,0.01609707
30.210990,0.1440891,2.62,0.1440891,0.01609701
30.246500,0.1447218,2.64,0.1447218,0.01609696
30.264820,0.1453545,2.66,0.1453545,0.0160969
30.292300,0.1460205,2.68,0.1460205,0.01609685
30.307190,0.1467198,2.7,0.1467198,0.01609681
30.310630,0.1474857,2.72,0.1474857,0.01609675
30.307190,0.1482849,2.74,0.1482849,0.01609668
30.298600,0.1491507,2.76,0.1491507,0.0160966
30.318070,0.1500498,2.78,0.1500498,0.01609653
30.441180,0.1508823,2.8,0.1508823,0.01609645
30.523630,0.1517148,2.82,0.1517148,0.01609638
30.631280,0.1526472,2.84,0.1526472,0.01609631
30.745800,0.1535796,2.86,0.1535796,0.01609625
30.819080,0.1545453,2.88,0.1545453,0.01609619
30.862600,0.1554777,2.9,0.1554777,0.01609613
30.922150,0.1563102,2.92,0.1563102,0.01609607
31.011470,0.1571427,2.94,0.1571427,0.016096
31.093930,0.1580418,2.96,0.1580418,0.01609595
31.162640,0.1590075,2.98,0.1590075,0.01609589
31.240510,0.1601064,3,0.1601064,0.01609584
31.313800,0.1611387,3.02,0.1611387,0.01609577
31.414580,0.162171,3.04,0.162171,0.01609572
31.542840,0.1633032,3.06,0.1633032,0.01609567
31.657360,0.1643688,3.08,0.1643688,0.01609562
31.739810,0.1654677,3.1,0.1654677,0.01609557
31.959680,0.1665,3.12,0.1665,0.01609552
32.032980,0.1676322,3.14,0.1676322,0.01609545
32.181850,0.1687311,3.16,0.1687311,0.01609538
32.300950,0.1698633,3.18,0.1698633,0.01609531
32.422340,0.1709289,3.2,0.1709289,0.01609523
32.674280,0.1718946,3.22,0.1718946,0.01609514
32.834600,0.1727271,3.24,0.1727271,0.01609505
32.868960,0.1735596,3.26,0.1735596,0.01609498
32.923930,0.174492,3.28,0.174492,0.0160949
32.907890,0.175491,3.3,0.175491,0.01609483
32.937670,0.1765566,3.32,0.1765566,0.01609477
32.965150,0.1776555,3.34,0.1776555,0.01609472
33.059060,0.1787877,3.36,0.1787877,0.01609467
33.159840,0.1798866,3.38,0.1798866,0.01609463
33.285800,0.1809855,3.4,0.1809855,0.01609459
33.423230,0.1821177,3.42,0.1821177,0.01609454
33.546900,0.1833165,3.44,0.1833165,0.0160945
33.647680,0.184482,3.46,0.184482,0.01609446
33.748460,0.1856142,3.48,0.1856142,0.01609441
33.872140,0.186813,3.5,0.186813,0.01609436
34.014140,0.1880118,3.52,0.1880118,0.01609432
34.160720,0.1893438,3.54,0.1893438,0.01609427
34.305020,0.1906758,3.56,0.1906758,0.01609421
34.538630,0.1920078,3.58,0.1920078,0.01609416
34.767670,0.1933731,3.6,0.1933731,0.01609411
34.834090,0.1947384,3.62,0.1947384,0.01609405
35.088310,0.196137,3.64,0.196137,0.01609398
35.248640,0.1974357,3.66,0.1974357,0.01609391
35.324230,0.1987011,3.68,0.1987011,0.01609384
35.569290,0.1998999,3.7,0.1998999,0.01609377
35.596780,0.2010987,3.72,0.2010987,0.01609371
35.649450,0.2022642,3.74,0.2022642,0.01609365
35.725040,0.2034297,3.76,0.2034297,0.01609357
35.802910,0.2046618,3.78,0.2046618,0.0160935
35.876200,0.2058273,3.8,0.2058273,0.01609343
35.944910,0.2070261,3.82,0.2070261,0.01609335
36.011330,0.208125,3.84,0.208125,0.01609328
36.118980,0.2092572,3.86,0.2092572,0.01609321
36.217460,0.2102895,3.88,0.2102895,0.01609313
36.288470,0.2113218,3.9,0.2113218,0.01609305
36.359470,0.2122542,3.92,0.2122542,0.01609297
36.419020,0.2130867,3.94,0.2130867,0.01609289
36.460240,0.2139192,3.96,0.2139192,0.01609281
36.433900,0.214785,3.98,0.214785,0.01609274
36.431610,0.2156508,4,0.2156508,0.01609267
36.334270,0.2164833,4.02,0.2164833,0.01609259
36.293050,0.2172825,4.04,0.2172825,0.0160925
36.314800,0.218115,4.06,0.218115,0.01609243
36.281590,0.2189142,4.08,0.2189142,0.01609237
36.271290,0.21978,4.1,0.21978,0.01609231
36.252960,0.2206125,4.12,0.2206125,0.01609224
36.228920,0.2215116,4.14,0.2215116,0.01609217
36.214030,0.2224107,4.16,0.2224107,0.01609208
36.210590,0.2232765,4.18,0.2232765,0.01609203
36.235790,0.2240757,4.2,0.2240757,0.01609197
36.233500,0.2248749,4.22,0.2248749,0.01609192
36.256400,0.2256741,4.24,0.2256741,0.01609187
36.269000,0.2263401,4.26,0.2263401,0.0160918
36.278160,0.2270061,4.28,0.2270061,0.01609173
36.285030,0.2276721,4.3,0.2276721,0.01609168
36.269000,0.2283381,4.32,0.2283381,0.01609163
36.266710,0.2290041,4.34,0.2290041,0.01609155
36.187690,0.2297034,4.36,0.2297034,0.01609148
36.146460,0.2304027,4.38,0.2304027,0.0160914
36.162490,0.2311686,4.4,0.2311686,0.01609133
36.141880,0.2319345,4.42,0.2319345,0.01609126
36.123560,0.232767,4.44,0.232767,0.01609122
36.115540,0.2336328,4.46,0.2336328,0.01609117
36.112110,0.2345652,4.48,0.2345652,0.01609111
36.192270,0.2354976,4.5,0.2354976,0.01609105
36.272430,0.2363967,4.52,0.2363967,0.01609101
36.354890,0.2372625,4.54,0.2372625,0.01609096
36.448790,0.238095,4.56,0.238095,0.01609092
36.496890,0.2389941,4.58,0.2389941,0.01609087
36.480850,0.2398266,4.6,0.2398266,0.01609081
36.524370,0.2406258,4.62,0.2406258,0.01609073
36.636600,0.2415249,4.64,0.2415249,0.01609067
36.691570,0.2424906,4.66,0.2424906,0.0160906
36.673250,0.2434896,4.68,0.2434896,0.01609052
36.719050,0.2445219,4.7,0.2445219,0.01609045
36.806090,0.2455542,4.72,0.2455542,0.01609036
36.883960,0.2465865,4.74,0.2465865,0.01609027
37.090090,0.2475855,4.76,0.2475855,0.01609019
37.115280,0.2486844,4.78,0.2486844,0.01609011
37.213770,0.24975,4.8,0.24975,0.01609002
37.335160,0.2508489,4.82,0.2508489,0.01608995
37.447390,0.2519145,4.84,0.2519145,0.01608988
37.564200,0.2529135,4.86,0.2529135,0.01608981
37.694750,0.2539125,4.88,0.2539125,0.01608974
37.836750,0.2549115,4.9,0.2549115,0.01608969
37.935230,0.2558439,4.92,0.2558439,0.01608964
37.994790,0.2568096,4.94,0.2568096,0.01608961
38.061200,0.2578752,4.96,0.2578752,0.01608959
38.120750,0.2588742,4.98,0.2588742,0.01608956
38.150530,0.2599398,5,0.2599398,0.01608953
38.151670,0.2611053,5.02,0.2611053,0.01608949
38.258170,0.2623041,5.04,0.2623041,0.01608944
38.377270,0.2634363,5.06,0.2634363,0.0160894
38.480340,0.2645685,5.08,0.2645685,0.01608934
38.583400,0.265734,5.1,0.265734,0.01608927
38.812440,0.2668995,5.12,0.2668995,0.01608921
38.862830,0.2680317,5.14,0.2680317,0.01608915
38.968190,0.2691639,5.16,0.2691639,0.01608907
39.071250,0.2702628,5.18,0.2702628,0.016089
39.279670,0.2713617,5.2,0.2713617,0.01608894
39.327770,0.2724606,5.22,0.2724606,0.01608888
39.407940,0.2736594,5.24,0.2736594,0.01608883
39.485810,0.2748582,5.26,0.2748582,0.01608877
39.588870,0.276057,5.28,0.276057,0.01608869
39.696520,0.2771892,5.3,0.2771892,0.01608862
39.806460,0.2783547,5.32,0.2783547,0.01608855
39.932430,0.2795868,5.34,0.2795868,0.01608848
40.026330,0.2808522,5.36,0.2808522,0.01608842
40.074430,0.2820843,5.38,0.2820843,0.01608835
40.163750,0.2832498,5.4,0.2832498,0.01608828
40.280560,0.2843487,5.42,0.2843487,0.01608822
40.376760,0.2853477,5.44,0.2853477,0.01608817
40.456920,0.2864133,5.46,0.2864133,0.01608812
40.509600,0.2875122,5.48,0.2875122,0.01608806
40.562270,0.2886777,5.5,0.2886777,0.016088
40.619530,0.2898432,5.52,0.2898432,0.01608795
40.679080,0.2908755,5.54,0.2908755,0.01608791
40.779870,0.2919078,5.56,0.2919078,0.01608785
40.896670,0.2929068,5.58,0.2929068,0.01608779
40.983700,0.2938725,5.6,0.2938725,0.01608773
41.054710,0.2947716,5.62,0.2947716,0.01608766
41.089060,0.2956374,5.64,0.2956374,0.0160876
41.070740,0.2964366,5.66,0.2964366,0.01608755
41.081050,0.2972691,5.68,0.2972691,0.01608748
41.068450,0.2981016,5.7,0.2981016,0.01608742
41.042680,0.2989674,5.72,0.2989674,0.01608737
41.055280,0.2998665,5.74,0.2998665,0.01608731
41.034090,0.3007323,5.76,0.3007323,0.01608725
41.053560,0.3015981,5.78,0.3015981,0.01608719
41.044970,0.3024639,5.8,0.3024639,0.01608715
41.039820,0.3032964,5.82,0.3032964,0.0160871
41.038670,0.3041622,5.84,0.3041622,0.01608705
41.038670,0.3049947,5.86,0.3049947,0.01608699
41.045540,0.3058938,5.88,0.3058938,0.0160869
41.044970,0.306693,5.9,0.306693,0.01608682
41.042110,0.3075255,5.92,0.3075255,0.01608675
41.038670,0.308358,5.94,0.308358,0.01608668
41.042680,0.3091572,5.96,0.3091572,0.0160866
41.048410,0.3098898,5.98,0.3098898,0.01608652
41.130290,0.3105558,6,0.3105558,0.01608645
41.160060,0.3111219,6.02,0.3111219,0.01608639
41.124560,0.3117213,6.04,0.3117213,0.01608634
41.038670,0.3124206,6.06,0.3124206,0.01608629
40.963090,0.3131532,6.08,0.3131532,0.01608623
40.940190,0.3139191,6.1,0.3139191,0.01608617
40.957360,0.3146517,6.12,0.3146517,0.01608611
40.945910,0.3154176,6.14,0.3154176,0.01608604
40.953930,0.3162168,6.16,0.3162168,0.016086
40.979690,0.3170493,6.18,0.3170493,0.01608594
40.965950,0.3179484,6.2,0.3179484,0.01608589
40.989430,0.3189141,6.22,0.3189141,0.01608584
41.012330,0.3198465,6.24,0.3198465,0.01608578
41.086770,0.320679,6.26,0.320679,0.01608574
41.160060,0.3216114,6.28,0.3216114,0.01608569
41.251670,0.3225771,6.3,0.3225771,0.01608565
41.324970,0.3235761,6.32,0.3235761,0.01608559
41.368480,0.3245418,6.34,0.3245418,0.01608555
41.416580,0.3255075,6.36,0.3255075,0.01608551
41.487580,0.3265065,6.38,0.3265065,0.01608548
41.567750,0.3275721,6.4,0.3275721,0.01608546
41.654780,0.3285711,6.42,0.3285711,0.01608544
41.737230,0.3296034,6.44,0.3296034,0.01608543
41.803650,0.3307023,6.46,0.3307023,0.01608541
41.890680,0.3318012,6.48,0.3318012,0.0160854
42.018950,0.333,6.5,0.333,0.01608538
42.149500,0.3341988,6.52,0.3341988,0.01608537
42.257140,0.335331,6.54,0.335331,0.01608535
42.472430,0.3363966,6.56,0.3363966,0.01608533
42.531990,0.3373623,6.58,0.3373623,0.01608531
42.655670,0.338328,6.6,0.338328,0.01608529
42.779340,0.3392271,6.62,0.3392271,0.01608528
42.852630,0.3401928,6.64,0.3401928,0.01608526
42.873250,0.3412917,6.66,0.3412917,0.01608524
42.872100,0.3423573,6.68,0.3423573,0.0160852
42.906460,0.3434895,6.7,0.3434895,0.01608516
43.026700,0.3447216,6.72,0.3447216,0.0160851
43.132060,0.3458871,6.74,0.3458871,0.01608504
43.244290,0.3470526,6.76,0.3470526,0.01608498
43.338190,0.3482514,6.78,0.3482514,0.01608491
43.404610,0.3494502,6.8,0.3494502,0.01608483
43.505390,0.350649,6.82,0.350649,0.01608476
43.635940,0.3518145,6.84,0.3518145,0.01608467
43.757330,0.3529467,6.86,0.3529467,0.01608458
43.878720,0.3541122,6.88,0.3541122,0.0160845
43.986370,0.3554109,6.9,0.3554109,0.01608441
44.071110,0.3567096,6.92,0.3567096,0.01608432
44.162720,0.3580749,6.94,0.3580749,0.01608423
44.419240,0.3594402,6.96,0.3594402,0.01608413
44.497110,0.3607722,6.98,0.3607722,0.01608404
44.739890,0.3621042,7,0.3621042,0.01608397
44.817760,0.3634695,7.02,0.3634695,0.0160839
44.952900,0.3647682,7.04,0.3647682,0.01608383
45.085740,0.3659337,7.06,0.3659337,0.01608377
45.220870,0.3670326,7.08,0.3670326,0.01608372
45.294170,0.3680982,7.1,0.3680982,0.01608368
45.339970,0.3692304,7.12,0.3692304,0.01608364
45.378910,0.3703959,7.14,0.3703959,0.01608359
45.361730,0.3715614,7.16,0.3715614,0.01608352
45.404100,0.3727269,7.18,0.3727269,0.01608345
45.523200,0.3738591,7.2,0.3738591,0.01608337
45.729330,0.3748914,7.22,0.3748914,0.01608329
45.770560,0.3758571,7.24,0.3758571,0.0160832
45.816360,0.3767895,7.26,0.3767895,0.01608312
45.793460,0.3777219,7.28,0.3777219,0.01608301
45.809490,0.3785877,7.3,0.3785877,0.01608292
45.816360,0.3795201,7.32,0.3795201,0.01608284
45.812930,0.3803526,7.34,0.3803526,0.01608276
45.794040,0.3812184,7.36,0.3812184,0.01608269
45.796890,0.3819843,7.38,0.3819843,0.01608261
45.762540,0.3827502,7.4,0.3827502,0.01608252
45.745360,0.3835494,7.42,0.3835494,0.01608242
45.731620,0.3843819,7.44,0.3843819,0.01608235
45.651460,0.3852144,7.46,0.3852144,0.01608228
45.612520,0.3860802,7.48,0.3860802,0.01608221
45.619390,0.386946,7.5,0.386946,0.01608215
45.586180,0.3878451,7.52,0.3878451,0.01608208
45.554120,0.3887442,7.54,0.3887442,0.01608204
45.533500,0.3896433,7.56,0.3896433,0.01608201
45.532360,0.3904758,7.58,0.3904758,0.01608198
45.532360,0.391275,7.6,0.391275,0.01608196
45.558120,0.3920409,7.62,0.3920409,0.01608193
45.588470,0.3927735,7.64,0.3927735,0.01608191
45.609080,0.3934395,7.66,0.3934395,0.01608189
45.640010,0.3941388,7.68,0.3941388,0.01608187
45.652600,0.3948381,7.7,0.3948381,0.01608184
45.637710,0.3955374,7.72,0.3955374,0.01608181
45.539230,0.3963366,7.74,0.3963366,0.01608179
45.475100,0.3971691,7.76,0.3971691,0.01608176
45.501440,0.3980682,7.78,0.3980682,0.01608173
45.491130,0.3990006,7.8,0.3990006,0.0160817
45.502580,0.3998664,7.82,0.3998664,0.01608166
45.544950,0.4007322,7.84,0.4007322,0.01608161
45.628560,0.4015647,7.86,0.4015647,0.01608157
45.612520,0.4024638,7.88,0.4024638,0.01608151
45.631990,0.4033962,7.9,0.4033962,0.01608145
45.650310,0.4044618,7.92,0.4044618,0.01608139
45.667490,0.4054608,7.94,0.4054608,0.01608132
45.788880,0.4064265,7.96,0.4064265,0.01608124
45.901100,0.4072923,7.98,0.4072923,0.01608117
45.946910,0.4081914,8,0.4081914,0.01608113
45.930880,0.4090905,8.02,0.4090905,0.01608107
45.962950,0.4099896,8.04,0.4099896,0.01608101
45.977830,0.4110219,8.06,0.4110219,0.01608095
46.005320,0.4120875,8.08,0.4120875,0.0160809
46.095790,0.4131531,8.1,0.4131531,0.01608085
46.148460,0.4142853,8.12,0.4142853,0.01608082
46.228630,0.4154508,8.14,0.4154508,0.01608079
46.350020,0.416583,8.16,0.416583,0.01608076
46.466830,0.4177485,8.18,0.4177485,0.01608071
46.599670,0.4188807,8.2,0.4188807,0.01608068
46.739380,0.4200129,8.22,0.4200129,0.01608066
46.830990,0.4210452,8.24,0.4210452,0.01608064
46.913450,0.4220109,8.26,0.4220109,0.01608062
47.016510,0.4229766,8.28,0.4229766,0.01608059
