Force ;Length;Time;Position;Small Length
4.910532;0.0076257;0;0.0076257;0.01890668
5.286151;0.008558099;0.02;0.008558099;0.01890679
5.634285;0.009423899;0.04;0.009423899;0.01890691
5.954937;0.0102231;0.06;0.0102231;0.01890702
6.252683;0.0110556;0.08;0.0110556;0.01890712
6.481719;0.0118881;0.1;0.0118881;0.0189072
6.674109;0.0126873;0.12;0.0126873;0.01890728
6.939791;0.0134532;0.14;0.0134532;0.01890733
7.205473;0.0142524;0.16;0.0142524;0.01890737
7.429928;0.0150183;0.18;0.0150183;0.01890741
7.631480;0.0157842;0.2;0.0157842;0.01890745
7.842193;0.0165501;0.22;0.0165501;0.01890748
8.071229;0.0173493;0.24;0.0173493;0.01890751
8.341492;0.0181818;0.26;0.0181818;0.01890752
8.552205;0.018981;0.28;0.018981;0.01890754
8.804145;0.0198135;0.3;0.0198135;0.01890756
9.051503;0.0206793;0.32;0.0206793;0.01890759
9.285120;0.0216117;0.34;0.0216117;0.01890763
9.527898;0.0224775;0.36;0.0224775;0.01890767
9.789000;0.0232434;0.38;0.0232434;0.01890773
10.054680;0.0239427;0.4;0.0239427;0.0189078
10.311200;0.0246087;0.42;0.0246087;0.0189079
10.526490;0.0252414;0.44;0.0252414;0.01890801
10.709720;0.0259074;0.46;0.0259074;0.01890814
10.783020;0.0265401;0.48;0.0265401;0.01890827
11.016630;0.0271395;0.5;0.0271395;0.01890841
11.222760;0.0277389;0.52;0.0277389;0.01890853
11.401410;0.0283383;0.54;0.0283383;0.01890863
11.467830;0.0290043;0.56;0.0290043;0.01890874
11.612130;0.0297702;0.58;0.0297702;0.01890885
11.873230;0.0305361;0.6;0.0305361;0.01890894
12.065620;0.0313686;0.62;0.0313686;0.01890904
12.244270;0.0322344;0.64;0.0322344;0.01890914
12.468720;0.0331668;0.66;0.0331668;0.01890924
12.711500;0.0340659;0.68;0.0340659;0.01890936
13.000080;0.0349317;0.7;0.0349317;0.01890949
13.284090;0.0357642;0.72;0.0357642;0.01890961
13.508540;0.03663;0.74;0.03663;0.01890974
13.668870;0.0375957;0.76;0.0375957;0.01890988
13.916230;0.0385281;0.78;0.0385281;0.01891001
14.200230;0.0394605;0.8;0.0394605;0.01891012
14.447590;0.0404262;0.82;0.0404262;0.01891022
14.649140;0.0414252;0.84;0.0414252;0.01891033
14.919410;0.0423909;0.86;0.0423909;0.01891045
15.180510;0.0433233;0.88;0.0433233;0.01891057
15.437030;0.0443223;0.9;0.0443223;0.01891067
15.634000;0.0453879;0.92;0.0453879;0.01891078
15.895100;0.0465201;0.94;0.0465201;0.01891091
16.188260;0.047619;0.96;0.047619;0.01891105
16.536400;0.0488178;0.98;0.0488178;0.01891121
16.847890;0.0499833;1;0.0499833;0.01891138
17.127310;0.0510489;1.02;0.0510489;0.01891155
17.425060;0.0521145;1.04;0.0521145;0.01891173
17.713650;0.0532134;1.06;0.0532134;0.01891192
18.002230;0.054279;1.08;0.054279;0.01891211
18.281650;0.055278;1.1;0.055278;0.0189123
18.501530;0.056277;1.12;0.056277;0.0189125
18.744310;0.0573759;1.14;0.0573759;0.01891267
19.000830;0.0585081;1.16;0.0585081;0.01891284
19.271090;0.0596736;1.18;0.0596736;0.018913
19.486380;0.0609057;1.2;0.0609057;0.01891318
19.724580;0.0621378;1.22;0.0621378;0.01891336
20.026910;0.0633366;1.24;0.0633366;0.01891353
20.324660;0.06453539;1.26;0.06453539;0.01891369
20.576600;0.0657675;1.28;0.0657675;0.01891382
20.851440;0.0670329;1.3;0.0670329;0.01891394
21.126280;0.0682983;1.32;0.0682983;0.01891406
21.469840;0.06943049;1.34;0.06943049;0.01891417
21.804230;0.07059599;1.36;0.07059599;0.01891426
22.033260;0.0718281;1.38;0.0718281;0.01891435
22.225650;0.07306019;1.4;0.07306019;0.01891444
22.486760;0.07439219;1.42;0.07439219;0.01891453
