X1,X2,X3,Y
27.642,62.057,79.765,0
15.513,85.971,86.012,0
27.814,80.118,81.430,0
18.681,44.550,84.421,0
34.469,81.295,87.999,0
20.701,49.487,80.852,0
35.162,49.945,75.194,0
23.716,69.670,86.347,0
17.278,87.799,76.213,0
39.664,46.554,83.155,0
17.382,75.722,80.627,0
48.645,57.804,83.099,0
14.535,43.093,85.209,0
37.894,80.000,71.614,0
12.395,65.170,85.603,0
47.686,67.596,89.570,0
16.164,61.179,82.335,0
30.305,74.553,72.028,0
37.157,87.903,80.716,0
28.490,67.532,73.846,0
16.597,88.264,71.100,0
48.858,59.337,84.010,0
13.553,79.074,75.443,0
37.408,76.080,83.498,0
32.773,54.380,74.995,0
29.388,57.258,81.991,0
16.612,74.734,79.326,0
28.937,44.495,74.002,0
28.476,40.671,70.662,0
40.585,45.605,75.425,0
39.766,55.652,79.121,0
40.352,57.617,86.070,0
10.327,43.044,80.767,0
17.328,63.884,75.290,0
39.327,76.306,88.909,0
27.771,53.074,74.036,0
25.821,64.712,89.539,0
35.228,75.098,86.009,0
41.295,81.949,81.461,0
10.185,49.401,83.948,0
17.909,75.985,79.284,0
30.083,50.959,84.897,0
17.877,82.623,85.843,0
38.767,79.425,85.099,0
23.462,71.444,87.621,0
26.998,65.541,76.111,0
31.957,69.800,84.498,0
36.257,48.881,71.916,0
19.676,44.555,73.856,0
49.364,83.527,89.302,0
18.505,44.586,83.837,0
38.498,63.610,75.705,0
41.886,88.842,70.914,0
34.460,89.019,83.722,0
49.652,59.275,83.884,0
20.443,66.181,71.111,0
34.075,79.416,76.987,0
48.248,51.547,74.963,0
29.542,86.884,82.215,0
48.488,51.975,73.709,0
35.189,86.767,79.241,0
35.549,67.805,70.010,0
17.612,60.436,70.212,0
24.200,41.512,70.976,0
31.734,76.734,83.716,0
45.973,59.067,79.033,0
24.774,73.591,79.644,0
22.335,76.025,83.422,0
47.838,53.643,77.232,0
21.547,84.379,78.672,0
30.460,78.954,88.048,0
23.579,84.429,81.318,0
48.627,89.019,71.980,0
30.381,86.687,71.020,0
23.138,68.398,74.242,0
27.121,58.742,82.173,0
21.948,61.464,89.877,0
16.925,65.924,76.880,0
14.723,54.918,89.480,0
32.739,78.033,73.596,0
14.326,54.869,86.909,0
29.366,65.353,84.150,0
14.440,60.562,82.314,0
48.559,76.449,70.337,0
36.620,42.000,70.139,0
36.036,63.852,70.591,0
14.948,47.575,82.299,0
25.825,61.991,85.192,0
38.711,45.503,75.999,0
27.131,85.664,78.581,0
17.484,88.427,73.671,0
34.792,82.035,83.172,0
39.609,74.060,82.640,0
22.962,52.428,88.053,0
43.276,71.766,88.138,0
20.057,57.004,88.416,0
33.525,51.987,78.294,0
23.740,63.850,86.622,0
10.928,63.622,86.146,0
42.113,79.346,82.260,0
19.168,85.925,89.250,0
12.520,63.064,82.734,0
46.987,77.454,78.004,0
30.255,73.811,83.739,0
20.822,42.040,80.925,0
32.616,59.430,79.140,0
34.002,50.518,87.726,0
30.620,63.400,83.490,0
18.209,47.484,86.353,0
33.964,52.481,83.232,0
32.745,75.304,76.201,0
17.874,42.827,80.196,0
25.995,43.201,81.827,0
24.185,59.515,89.310,0
11.459,47.447,75.873,0
33.788,44.094,74.535,0
47.416,67.808,86.855,0
13.927,57.955,78.555,0
20.787,64.836,82.545,0
18.775,42.975,78.906,0
47.273,86.401,76.662,0
49.204,42.747,89.810,0
33.355,58.734,84.337,0
32.804,57.490,81.361,0
47.854,82.526,81.868,0
19.940,56.191,79.069,0
37.087,58.588,74.127,0
27.274,57.290,70.874,0
27.415,51.890,82.479,0
39.767,54.527,81.744,0
46.861,47.755,89.095,0
46.729,81.924,89.182,0
29.780,52.816,77.696,0
35.829,47.303,77.046,0
36.942,43.430,81.373,0
32.367,47.873,75.076,0
10.190,44.866,80.262,0
37.626,86.913,80.030,0
28.972,54.357,79.352,0
24.172,51.339,73.184,0
43.941,89.102,70.209,0
14.605,71.977,88.828,0
36.929,84.009,77.850,0
14.867,78.198,83.414,0
12.157,69.077,80.504,0
25.335,73.487,76.385,0
31.547,57.214,76.024,0
13.205,54.835,83.772,0
26.053,71.730,77.984,0
39.368,56.153,80.147,0
29.242,51.493,85.127,0
13.966,66.943,78.609,0
31.363,69.800,71.011,0
10.804,55.800,81.260,0
18.328,88.885,75.964,0
16.359,69.886,72.772,0
39.052,75.498,84.713,0
22.056,65.424,89.183,0
21.204,88.193,88.428,0
17.831,50.790,77.368,0
44.818,75.775,79.037,0
20.467,75.583,78.155,0
34.525,79.650,83.526,0
13.243,86.551,76.851,0
22.883,89.797,87.132,0
41.948,60.863,87.887,0
48.604,79.991,82.308,0
12.568,76.534,87.782,0
14.043,78.542,81.657,0
48.449,53.775,70.134,0
35.460,40.961,76.534,0
38.470,40.103,82.015,0
28.580,40.555,82.477,0
10.304,86.506,79.174,0
13.038,67.222,78.347,0
30.659,75.560,89.620,0
42.467,66.281,88.029,0
30.375,71.313,82.944,0
49.062,75.258,82.700,0
12.325,86.923,80.936,0
14.588,52.334,74.286,0
23.844,86.354,84.882,0
37.511,57.644,88.591,0
41.808,47.892,74.484,0
29.764,47.710,72.348,0
40.075,52.177,87.631,0
35.124,69.986,77.980,0
11.243,62.224,79.494,0
28.613,55.498,72.146,0
10.596,45.808,71.333,0
21.349,50.258,73.943,0
18.896,80.922,78.866,0
36.372,44.233,75.244,0
22.540,59.331,72.537,0
25.481,78.791,82.028,0
10.935,63.094,73.140,0
36.350,58.032,85.973,0
29.913,77.904,88.298,0
