#Creator: Ibrahim M. Alarifi
#Date: 2018-07-20 02:25
#Origin: https://doi.org/10.6084/m9.figshare.6843638.v2
#Material: Carbon fiber pre-impregnated composite polyacrylonitrile
#Editor: Sparisoma Viridi
#Delimiter: comma
#Column: Strain,Stress
#Type: float,float
#Unit: mm/mm,MPa
Strain,Stress
-2.830,2.416
-2.815,3.508
-2.805,4.014
-2.790,4.342
-2.774,4.62
-2.764,4.858
-2.749,5.092
-2.739,5.266
-2.723,5.378
-2.708,5.615
-2.698,5.717
-2.683,5.852
-2.673,5.956
-2.657,6.062
-2.642,6.166
-2.632,6.264
-2.617,6.34
-2.601,6.518
-2.591,6.575
-2.576,6.676
-2.566,6.771
-2.550,6.856
-2.535,6.931
-2.525,7.043
-2.510,7.103
-2.494,7.144
-2.484,7.205
-2.469,7.287
-2.454,7.415
-2.443,7.444
-2.428,7.479
-2.418,7.562
-2.403,7.517
-2.387,7.596
-2.377,7.652
-2.362,7.699
-2.352,7.638
-2.337,7.632
-2.321,7.705
-2.311,7.955
-2.296,7.986
-2.281,8.04
-2.270,8.12
-2.255,8.209
-2.245,8.302
-2.230,8.341
-2.214,8.376
-2.204,8.435
-2.189,8.518
-2.174,8.589
-2.163,8.703
-2.148,8.804
-2.133,8.909
-2.123,9.026
-2.107,9.117
-2.097,9.169
-2.082,9.248
-2.067,9.304
-2.057,9.334
-2.041,9.385
-2.031,9.487
-2.016,9.537
-2.001,9.582
-1.990,9.66
-1.975,9.723
-1.960,9.732
-1.950,9.809
-1.934,9.86
-1.924,9.93
-1.909,10.031
-1.894,10.173
-1.883,10.322
-1.868,10.561
-1.853,10.663
-1.843,10.901
-1.827,10.962
-1.812,11.05
-1.802,11.16
-1.787,11.208
-1.777,11.374
-1.761,11.591
-1.751,11.68
-1.736,11.857
-1.721,12.024
-1.710,12.193
-1.695,12.336
-1.680,12.519
-1.670,12.666
-1.654,12.853
-1.639,13.04
-1.629,13.076
-1.614,13.199
-1.604,13.273
-1.588,13.376
-1.573,13.548
-1.563,13.659
-1.548,13.798
-1.532,13.951
-1.522,14.097
-1.507,14.322
-1.497,14.569
-1.481,14.572
-1.466,14.771
-1.456,14.984
-1.441,15.145
-1.430,15.32
-1.415,15.564
-1.400,15.761
-1.390,15.98
-1.374,16.159
-1.359,16.471
-1.349,16.676
-1.334,16.929
-1.318,17.091
-1.308,17.411
-1.293,17.499
-1.283,17.587
-1.268,17.804
-1.252,17.972
-1.242,18.136
-1.227,18.357
